parkType,countryCode,countryName,name,latitude,longitude
botanical_garden,AR,"Argentina","South rose garden",-34.615267043,-58.359862597
national_park,AR,"Argentina","Talampaya",-29.79575,-67.811194
national_park,AR,"Argentina","Tierra del Fuego",-54.666944444,-68.5
theme_park,AR,"Argentina","Tierra Santa",-34.5472,-58.4325
national_park,AR,"Argentina","Traslasierra",-31.158333,-65.459444
botanical_garden,AR,"Argentina","Ushuaia",-54.786298122,-68.283007416
national_park,AM,"Armenia","Arevik",39,46.15
national_park,AM,"Armenia","Dilijan",40.65638889,45.02138889
national_park,AM,"Armenia","Lake Arpi",41.054444,43.643056
theme_park,AM,"Armenia","Play City",40.2183,44.5574
national_park,AM,"Armenia","Sevan",40.34611111,45.33444444
botanical_garden,AM,"Armenia","Sevan",40.557203,44.969508
botanical_garden,AM,"Armenia","Vanadzor",40.81666667,44.5
botanical_garden,AM,"Armenia","Yerevan",40.21083,44.557064
theme_park,AM,"Armenia","Yerevan Park",40.182862269,44.476239511
theme_park,AM,"Armenia","Yerevan Water World",40.2049,44.5582
national_park,AW,"Aruba","Arikok",12.4988,-69.92654
theme_park,AU,"Australia","ABC Kids World",-27.8638,153.318
national_park,AU,"Australia","Abercrombie River",-34.098333333,149.6677778
botanical_garden,AU,"Australia","Adelaide",-34.9175,138.6125
national_park,AU,"Australia","Adelaide International Bird Sanctuary National Park - Winaityinaityi Pangkara",-34.5944,138.398
national_park,AU,"Australia","Adelyne CCA Zone 3 State Conservation Area",-31.957,149.257
theme_park,AU,"Australia","Adventure Park",-38.2092,144.515
theme_park,AU,"Australia","Adventure World",-32.095628701,115.818099408
national_park,AU,"Australia","Albinia",-24.4748351,148.4923599
botanical_garden,AU,"Australia","Albury",-36.081,146.909
national_park,AU,"Australia","Alexander Morrison",-30.0839,115.486
botanical_garden,AU,"Australia","Alexandra Gardens",-37.2803373,142.9294159
national_park,AU,"Australia","Alfred",-37.571388888,149.360277777
botanical_garden,AU,"Australia","Alfred Nicholas Memorial Garden",-37.874166666,145.359166666
botanical_garden,AU,"Australia","Alice Springs Desert Park",-23.7065,133.833
botanical_garden,AU,"Australia","Alister Clark Memorial Rose Garden",-37.6367,144.804
national_park,AU,"Australia","Alligator Gorge",-32.787880555,138.069461111
national_park,AU,"Australia","Alpine",-37.3375,146.757
national_park,AU,"Australia","Alton",-27.989722222,149.313333333
national_park,AU,"Australia","Alwal",-15.2033799,143.5800908
national_park,AU,"Australia","Amamoor",-26.3245929,152.6457223
